,state,North,South,West,East,Stop
0,"(1, 2)",0,0,-9223372036854775808,-9223372036854775808,0
1,"(1.0, 3.0)",0,0,-9223372036854775808,-9223372036854775808,0
2,"(1.0, 4.0)",0,0,-9223372036854775808,-9223372036854775808,0
3,"(1.0, 5.0)",0,0,-9223372036854775808,-9223372036854775808,0
4,"(1.0, 6.0)",0,0,-9223372036854775808,-9223372036854775808,0
5,"(1.0, 7.0)",0,0,-9223372036854775808,-9223372036854775808,0
6,"(1.0, 8.0)",0,0,-9223372036854775808,-9223372036854775808,0
7,"(1.0, 9.0)",0,0,-9223372036854775808,-9223372036854775808,0
8,"(1.0, 10.0)",0,0,-9223372036854775808,-9223372036854775808,0
9,"(1.0, 11.0)",0,0,-9223372036854775808,-9223372036854775808,0
10,"(1.0, 12.0)",0,0,-9223372036854775808,-9223372036854775808,0
11,"(1.0, 13.0)",0,0,-9223372036854775808,-9223372036854775808,0
12,"(1.0, 14.0)",-9223372036854775808,0,-9223372036854775808,0,0
13,"(2.0, 14.0)",-9223372036854775808,-9223372036854775808,0,0,0
14,"(3.0, 14.0)",-9223372036854775808,0,0,-9223372036854775808,0
15,"(3.0, 13.0)",0,0,-9223372036854775808,-9223372036854775808,0
16,"(3.0, 12.0)",0,0,-9223372036854775808,-9223372036854775808,0
17,"(3.0, 11.0)",0,0,-9223372036854775808,-9223372036854775808,0
18,"(3.0, 10.0)",0,-9223372036854775808,-9223372036854775808,0,0
19,"(4.0, 10.0)",-9223372036854775808,0,0,0,0
20,"(4.0, 9.0)",0,0,-9223372036854775808,-9223372036854775808,0
21,"(4.0, 8.0)",0,0,0,-9223372036854775808,0
22,"(4.0, 7.0)",0,0,-9223372036854775808,0,0
23,"(5.0, 7.0)",-9223372036854775808,0,0,-9223372036854775808,0
24,"(5.0, 6.0)",0,0,0,-9223372036854775808,0
25,"(5.0, 5.0)",0,0,-9223372036854775808,0,0
26,"(6.0, 5.0)",-9223372036854775808,-9223372036854775808,0,0,0
27,"(7.0, 5.0)",0,-9223372036854775808,0,-9223372036854775808,0
28,"(7.0, 6.0)",-9223372036854775808,0,-9223372036854775808,0,0
29,"(8.0, 6.0)",-9223372036854775808,-9223372036854775808,0,0,0
30,"(9.0, 6.0)",-9223372036854775808,0,0,0,0
31,"(10.0, 6.0)",0,-9223372036854775808,0,0,0
32,"(11.0, 6.0)",-9223372036854775808,-9223372036854775808,0,0,0
33,"(12.0, 6.0)",0,-9223372036854775808,0,0,0
34,"(13.0, 6.0)",0,0,0,-9223372036854775808,0
35,"(13.0, 7.0)",0,0,0,0,0
36,"(14.0, 7.0)",0,-9223372036854775808,0,0,0
37,"(15.0, 7.0)",0,-9223372036854775808,0,0,0
38,"(16.0, 7.0)",0,-9223372036854775808,0,0,0
39,"(17.0, 7.0)",0,0,0,0,0
40,"(17.0, 6.0)",0,-9223372036854775808,-9223372036854775808,-9223372036854775808,0
41,"(18.0, 7.0)",0,-9223372036854775808,0,0,0
42,"(19.0, 7.0)",0,0,0,-9223372036854775808,0
43,"(19.0, 6.0)",0,0,-9223372036854775808,0,0
44,"(20.0, 6.0)",-9223372036854775808,-9223372036854775808,0,0,0
45,"(21.0, 6.0)",-9223372036854775808,-9223372036854775808,0,-9223372036854775808,0
46,"(19.0, 8.0)",0,0,0,-9223372036854775808,0
47,"(19.0, 9.0)",-9223372036854775808,0,0,0,0
48,"(20.0, 9.0)",-9223372036854775808,-9223372036854775808,0,0,0
49,"(21.0, 9.0)",-9223372036854775808,0,0,0,0
50,"(21.0, 8.0)",0,-9223372036854775808,-9223372036854775808,-9223372036854775808,0
51,"(22.0, 9.0)",0,-9223372036854775808,0,0,0
